,Round,Cycle,MouseID,Gender,Donor,ASD_diagnosis,OFT_Distance,OFT_velocity,OFT_LrgCntr_freq,OFT_LrgCntr_duration,OFT_LrgCntr_latency,OFT_SmlCntr_freq,OFT_SmlCntr_duration,OFT_SmlCntr_latency,OFT_Movement,MB_visible,MB_buried,MB_percentBuried,DSI_Agrsn_freq,DSI_Agrsn_duration,DSI_Social_freq,DSI_Social_duration,DSI_Groom_freq,DSI_Groom_Duration,SI_Habit_Social,SI_Habit_Cntr,SI_Habit_NonSocial,SI_Sociability_Social,SI_Sociability_Cntr,SI_Sociability_NonSocial,Unnamed: 30,Unnamed: 31,Unnamed: 32,USV_freq,USV_Duration,DSI_USV_median,DSI_USV_StdDev,DSI_USV_Freq,DSI_USV_Duration,DSI_USV_Slbl_num,DSI_USV_Slbl_Duration,DSI_USV_Slbl_Gap_Length,DSI_USV_Slbl_Bout_freq,DSI_USV_Slbl_Bout_gap,DSI_USV_Slbl_SlblPerBout,Unnamed: 45,SI_index
636,10.0,3.0,5.0,Male,A9-old,ASD,3580.4,6.04601,102.0,123.557,0.967634,38.0,77.5108,1.16783,45.543,17.0,3.0,15.0,0.0,0.0,7.0,7.75,0.0,0.0,162.563,240.774,162.963,296.93,74.6079,201.06799999999998,,,,,,0.032080000000000004,0.06629,137.0,4.3955,13.0,16.0,19873.0,9.0,7943.0,1.0,,9.624737448744774
637,10.0,3.0,6.0,Male,A9-old,ASD,3733.72,6.28967,130.0,113.113,11.0777,52.0,72.7394,14.648,47.3113,12.0,8.0,40.0,0.0,0.0,20.0,57.385,5.0,9.665,176.476,289.52299999999997,114.381,269.403,88.7554,183.417,,,,,,0.007490000000000001,0.0203,121.0,0.9069,83.0,8.0,4359.0,39.0,158.0,2.0,,9.494501126275338
638,10.0,3.0,7.0,Male,A9-old,ASD,4488.96,7.49202,134.0,107.274,0.0,52.0,108.008,0.033366,55.0131,11.0,9.0,45.0,0.0,0.0,17.0,57.15,3.0,11.365,167.301,230.097,159.059,257.157,82.3824,197.53099999999998,,,,,,0.00735,0.01848,148.0,1.0889,3.0,5.0,154660.0,2.0,39811.0,2.0,,6.556803786332601
639,10.0,3.0,8.0,Male,A9-old,ASD,4905.92,8.2657,129.0,105.806,2.4024,54.0,53.8539,19.8866,55.191,10.0,10.0,50.0,0.0,0.0,11.0,25.3,2.0,11.455,209.843,191.19099999999997,156.29,227.69400000000002,42.9096,250.083,,,,,,0.005370000000000001,0.015719999999999998,168.0,0.9028,10.0,5.0,26651.0,9.0,32.0,1.0,,-2.3430386979699733
640,10.0,3.0,9.0,Male,A17-old,ASD,2770.13,5.23559,54.0,52.1522,1.33467,26.0,43.5769,11.378,37.035,18.0,2.0,10.0,0.0,0.0,14.0,25.46,4.0,7.995,148.582,289.656,138.672,257.558,91.6583,211.812,,,,,,0.01677,0.039830000000000004,130.0,2.1803,47.0,7.0,6515.0,32.0,631.0,1.0,,4.873127809617145
641,10.0,3.0,10.0,Male,A17-old,ASD,2946.9,5.11991,76.0,58.0914,29.9299,38.0,56.2229,79.71300000000001,42.1898,9.0,11.0,55.0,0.0,0.0,8.0,14.475,4.0,13.565,165.132,213.213,191.458,288.822,77.97800000000001,201.602,,,,,,0.03425,0.04625,151.0,5.1727,12.0,12.0,24859.0,2.0,63096.0,6.0,,8.89230543366557
642,10.0,3.0,11.0,Male,A17-old,ASD,3459.66,5.79026,110.0,135.269,4.87154,50.0,68.0681,6.873539999999999,44.7589,10.0,10.0,50.0,0.0,0.0,14.0,37.155,2.0,0.575,182.015,160.861,221.622,212.045,45.0117,288.488,,,,,,0.011090000000000001,0.01441,417.0,4.626,861.0,23.0,388.0,170.0,158.0,5.0,,-7.6361598535960695
643,10.0,3.0,12.0,Male,A17-old,ASD,4252.27,7.14272,99.0,61.1612,0.2002,30.0,18.4518,0.0,51.898999999999994,12.0,8.0,40.0,0.0,0.0,11.0,40.07,1.0,4.89,255.28900000000002,141.708,147.481,258.29200000000003,81.0477,218.15099999999998,,,,,,0.00897,0.01714,101.0,0.906,173.0,5.0,1995.0,8.0,6310.0,22.0,,4.212571073559701
644,10.0,3.0,13.0,Male,A11-old,ASD,4115.57,6.989489999999999,127.0,72.3056,3.6036,52.0,59.326,3.93727,53.2751,14.0,6.0,30.0,0.0,0.0,12.0,34.26,3.0,8.315,156.99,161.128,194.96200000000002,272.606,60.6273,228.929,,,,,,0.01081,0.0244,107.0,1.1573,22.0,7.0,15112.0,11.0,5012.0,2.0,,4.354332200145556
645,10.0,3.0,14.0,Male,A11-old,ASD,3919.7,6.78683,84.0,51.7851,2.56923,26.0,22.1889,3.13647,46.2077,7.0,13.0,65.0,0.0,0.0,21.0,29.345,3.0,11.395,207.50799999999998,181.648,175.375,283.75,35.1685,217.15,,,,,,0.01485,0.03456,108.0,1.6038,84.0,5.0,4111.0,20.0,3981.0,4.0,,6.6480335396286705
