beta_0 beta_1 n theta t Welch log Wilcoxan nb
4 8 20 100 1 1 1 1 1
4 8 40 100 1 1 1 1 1
10 0 5 100 0.051 0.046 0.05 0.035 0.052
10 0 10 100 0.043 0.042 0.043 0.043 0.047
10 0 20 100 0.051 0.051 0.051 0.045 0.052
10 0 40 100 0.049 0.049 0.051 0.046 0.052
10 5 5 100 0.439 0.404 0.43 0.372 0.554
10 5 10 100 0.776 0.769 0.763 0.751 0.816
10 5 20 100 0.983 0.983 0.981 0.981 0.989
10 5 40 100 1 1 1 1 1
10 10 5 100 0.925 0.896 0.92 0.858 0.974
10 10 10 100 0.997 0.997 0.997 0.997 0.998
10 10 20 100 1 1 1 1 1
10 10 40 100 1 1 1 1 1
10 20 5 100 1 1 1 1 1
10 20 10 100 1 1 1 1 1
10 20 20 100 1 1 1 1 1
10 20 40 100 1 1 1 1 1
100 0 5 100 0.04 0.035 0.041 0.03 0.093
100 0 10 100 0.049 0.046 0.051 0.04 0.069
100 0 20 100 0.039 0.039 0.042 0.042 0.056
100 0 40 100 0.036 0.036 0.034 0.037 0.041
100 50 5 100 0.987 0.981 0.986 0.949 0.998
100 50 10 100 1 1 1 1 1
100 50 20 100 1 1 1 1 1
100 50 40 100 1 1 1 1 1
100 100 5 100 1 1 1 1 1
100 100 10 100 1 1 1 1 1
100 100 20 100 1 1 1 1 1
100 100 40 100 1 1 1 1 1
100 200 5 100 1 1 1 1 1
100 200 10 100 1 1 1 1 1
100 200 20 100 1 1 1 1 1
100 200 40 100 1 1 1 1 1
