effect	b_max	b_mean	b_lmer	p_max	p_mean	p_lmer	mean_max	mean_mean
0	11.5526544203891	-40.2852195593278	-40.2852195593291	0.795497337634936	0.236605644912574	0.255429118219321	1074.39278925775	888.897991442391
0	1.29611372837597	-4.71638276584225	-4.71638276584251	0.975019717437775	0.893630921767204	0.895352336170824	1078.01246762925	873.091917553298
0	-48.5358022356858	22.6007151401651	22.6007151401644	0.360286454794102	0.539081939590024	0.555476136282883	1098.99989370911	834.289309739864
0	37.8574736879102	46.0582416439065	46.0582416439062	0.38402652961251	0.216631413919058	0.257636613323722	1078.70641535856	811.462731589237
0	-2.52336080390199	-8.59267706269191	-8.59267706269323	0.963598370950169	0.824267460172105	0.834115633410639	1115.0969689452	869.711390711282
0	-30.1156507881606	-16.8701111086305	-16.8701111086302	0.512113128079212	0.628169004089835	0.640818104756271	1066.51265294416	843.499151901863
0	-79.4070692915725	-39.5295891101842	-39.529589110186	0.148692285092717	0.35324689604486	0.29575361332551	1140.14826617152	892.318817239032
0	11.2335118191934	-2.95764546288288	-2.95764546288289	0.815709955431929	0.931099177665637	0.934416183093617	1071.20706062153	877.637946669722
0	60.219451720275	14.8680839262	14.8680839261991	0.147932559654151	0.625573229777884	0.716923073293975	1059.90612128704	833.428748661871
0	-59.7587049428407	-69.8234953198517	-69.8234953198507	0.280563932154327	0.112501015793117	0.0707328664578462	1095.95270965738	885.018954300347
0	-18.7512863435617	-23.1795800090788	-23.1795800090783	0.75822072177166	0.684174598755917	0.588293620743027	1087.3758237671	855.104391696675
0	-6.81764325974804	11.6552972044183	11.6552972044181	0.864814458188539	0.745878328769464	0.740698017912585	1084.07099425555	863.461210967734
0	-50.7614762696275	-32.8211522335373	-32.8211522335372	0.307243034211887	0.377534989577264	0.381174123465102	1108.67118889374	879.942994174429
0	54.9761582396964	34.5900183439334	34.5900183439341	0.175485942327908	0.214471019105717	0.311026885030308	1051.71807961215	850.431949362069
0	-45.4946758727996	6.44227960378345	6.44227960378544	0.381310758899239	0.897279518747764	0.868450957497821	1104.35179387853	870.477203676339
0	-29.5778499302932	8.64562953036773	8.64562953036527	0.585181350995707	0.825801062693309	0.829752659304982	1144.33023794599	886.851814763664
0	1.45195271961919	-2.47117504067715	-2.47117504067819	0.977919653918076	0.955651619900756	0.949181414652304	1098.9438536307	889.79629971109
0	-81.9494443783698	-61.036356337673	-61.0363563376724	0.0891556992359424	0.128154409166482	0.110164588074028	1126.76502347521	894.528309907871
0	-48.6589765709395	-47.8794315136362	-47.8794315136371	0.430518583603491	0.284330792515561	0.224840885192646	1107.07959416316	889.607651697194
0	75.3600853507019	88.5374173613563	88.537417361355	0.123252475387139	0.0169815678626223	0.0166884762407596	1023.51250234311	798.752321009226
0	-5.43776164562137	-21.4097808081291	-21.4097808081292	0.916981236995645	0.588344224715795	0.538101848509636	1036.41802981266	850.699538520634
0	33.5722182767635	2.04621529518412	2.04621529518393	0.454434685202193	0.956013915524536	0.955911042038731	1063.72935426479	859.927034018692
0	-29.7619713105998	20.7229386917417	20.7229386917414	0.485668497264676	0.576890081640242	0.564516238173492	1083.93739148163	846.106764413644
0	-12.8011028099451	15.4888761166069	15.4888761166074	0.812689877371679	0.719456208826644	0.678760465851601	1073.23477118405	839.812226931616
0	-21.9087646473451	-30.2182076065629	-30.218207606563	0.641175755241469	0.429583581628602	0.423697817176539	1111.3554628896	894.966441958233
0	-18.1254015082576	-1.70007491223341	-1.7000749122332	0.701422109682889	0.967448906999486	0.960641972187156	1028.16467850622	834.47288817389
0	29.5380937791145	38.6513322431852	38.6513322431842	0.539495322093386	0.294862307460184	0.249371561975305	1049.75787886331	839.899204165399
0	36.595960986538	-3.30370668547606	-3.3037066854763	0.365915614271147	0.921922810847473	0.923192469412558	1046.96148273105	857.136942071849
0	-25.8042291410778	-28.6681097421614	-28.6681097421601	0.539660557657422	0.385291229840125	0.440781444711762	1086.94560685907	856.615923317179
0	36.2666713010664	24.5576968113239	24.5576968113228	0.507239865055898	0.588959637447462	0.516139690322896	1075.30027258538	872.277365036829
0	41.4215331609319	49.7200126591628	49.7200126591641	0.391672733988848	0.239666487738158	0.159548392121456	1021.90580623917	829.247327552272
0	50.8745948625545	-2.86664949925296	-2.86664949925368	0.409104801172367	0.942940239548351	0.941014844942818	1054.71599418385	846.6562308869
0	68.1954069548791	28.8766349804207	28.8766349804218	0.269807092933542	0.527031230736784	0.442538707438671	1024.13040348608	839.430202236818
0	-35.2828803697229	-50.5042677625422	-50.5042677625415	0.522700101674024	0.220652538760681	0.210874456319766	1111.34744274648	880.152643550001
0	20.0056572604377	0.811124453753406	0.811124453752351	0.68510682875302	0.982386880706522	0.981473392742114	1079.5830076942	885.156213119186
0	29.7504378543997	-14.3910214384484	-14.3910214384491	0.545963541689301	0.77521923624698	0.710449628454245	1027.63389549496	849.392462555084
0	-29.9082828383616	-8.34041319850626	-8.34041319850667	0.441773197742689	0.823116393672097	0.812170131984173	1038.50883604345	832.432862669423
0	-4.14796573861799	-26.1402525749681	-26.140252574968	0.927301653567493	0.490951539400644	0.443721829139231	1053.54601882604	864.724819969982
0	-16.0083144707746	3.29114595166546	3.29114595166781	0.682235333261808	0.941785595747308	0.933956045416663	1119.52667990961	884.889411560257
0	-7.92519116094639	-20.9104269777885	-20.9104269777872	0.880712012953858	0.597885712874684	0.566777286015882	1088.97948643537	869.25703927868
0	17.5416274912243	24.9864147228911	24.9864147228908	0.696479406482823	0.452504152590801	0.500163263010249	1082.69849066676	854.043352510098
