t Welch log Wilcoxan nb nb.x2 nb.perm qp combo mu_0 effect n theta
0.756613345726561 0.758069381797566 0.963935302709908 0.907295694089288 0.72171153543355 0.722471920040621 0.877 0.745601227270412 1 4 1 10 0.5
0.198324905585618 0.211242942180174 0.579212144222807 0.96907323223102 0.125252779815289 0.143880469505699 0.218 0.13867625409097 1 4 1 10 0.5
0.687906820090025 0.688152318154483 0.753367262243735 0.786499115911397 0.722734297432303 0.723462453332985 0.697 0.681746254805192 1 4 1 10 0.5
0.421015880641084 0.423347338834241 0.663123023797191 0.674451549998452 0.387990945174115 0.394439350815521 0.371 0.401115416014638 1 4 1 10 0.5
0.0537771820971847 0.064110492609986 0.0435014666090902 0.0614992057735869 0.0153240091735919 0.0281420843505791 0.066 0.0387454499696502 1 4 1 10 0.5
0.357939666006235 0.358344499392588 0.478391006689292 0.906404796916584 0.366092123392947 0.37472180424356 0.339 0.365074133912699 1 4 1 10 0.5
0.506331655897848 0.513747033706264 0.74391184348496 0.3738599489588 0.295833596915554 0.305900684363652 0.833 0.449077109964246 1 4 1 10 0.5
0.224681865335723 0.228001229827576 0.37709493325906 0.510165186728679 0.234279898481064 0.248842994200474 0.205 0.214027693263754 1 4 1 10 0.5
0.876523389362971 0.876680127001348 0.575807094113998 0.5869788480331 0.884344456160355 0.88439626282695 0.9 0.875833867556205 1 4 1 10 0.5
0.772530783451577 0.772794154177054 0.917419192843375 0.726617750230798 0.750126074104638 0.750607270313318 0.797 0.767463732265575 1 4 1 10 0.5
0.0443610474933073 0.0546836494284338 0.0338855337230902 0.0489358890629758 0.0106695781629011 0.0175165919277767 0.035 0.0265748375245929 1 4 1 10 0.5
0.661558552491693 0.66250566206872 0.853213436495013 1 0.597720915904102 0.599646256616352 0.676 0.650450353613735 1 4 1 10 0.5
0.0967862879963269 0.104077382490833 0.0756410801168445 0.0922940780367586 0.0448789040746317 0.0571237043302743 0.07 0.0716980796208514 1 4 1 10 0.5
0.066124586975813 0.0674435967697763 0.0288116770320002 0.0347201974258921 0.0592685677966166 0.0735438053011173 0.087 0.0694391294757669 1 4 1 10 0.5
0.479129414941344 0.47988632094898 0.45350254330276 0.494828227876706 0.474578300187702 0.478242074441572 0.512 0.467114642514488 1 4 1 10 0.5
0.176935213714634 0.176988865605424 0.106444364825958 0.140674118629499 0.219391188288522 0.232730778883968 0.209 0.198173312369095 1 4 1 10 0.5
0.592515638134691 0.592969406051585 0.849909907965565 0.935487504691238 0.63835775690274 0.640372669324815 0.573 0.58509495102734 1 4 1 10 0.5
0.0920715986705555 0.106946578104957 0.241566799797417 0.410684783505253 0.0374178891581745 0.0577095832464593 0.099 0.0487997496562518 1 4 1 10 0.5
0.744277827223089 0.744635558056293 0.85095219267409 1 0.744785627842398 0.745213541974871 0.724 0.738395255640895 1 4 1 10 0.5
0.622695941856196 0.624699232709944 0.972222700578371 0.846170496223458 0.608640072630876 0.610612472851498 0.68 0.605343083154523 1 4 1 10 0.5
0.637601234695615 0.638371109992505 0.657916590963336 0.528610878887117 0.62628173453395 0.628326074053619 0.702 0.627816641254075 1 4 1 10 0.5
0.721423063629199 0.721549113338624 0.374526284307906 0.336017993604619 0.704368435444195 0.705175772566417 0.707 0.722568109712028 1 4 1 10 0.5
0.795544206185068 0.79622613087304 0.44753414624947 0.378324579221584 0.785165408687153 0.785404656373483 0.813 0.795721417020043 1 4 1 10 0.5
0.0886593255314363 0.101149488982372 0.0652562353098903 0.0753164046685474 0.0167268473708525 0.024849707701621 0.044 0.0520866516060817 1 4 1 10 0.5
0.15901640440612 0.169351440464769 0.508814006518574 0.66664399465393 0.159730991819829 0.175359738641298 0.196 0.114953307240586 1 4 1 10 0.5
0.637058092024614 0.637324643172658 0.466383070662886 0.463979207774531 0.579593709777253 0.581319109763537 0.624 0.6306269464387 1 4 1 10 0.5
0.16553287211436 0.168690869477981 0.172426443423569 0.225885064762448 0.201544611805131 0.220094433950427 0.183 0.167191150684038 1 4 1 10 0.5
0.729160627366157 0.729270841791659 0.588446217305248 0.491363798932095 0.698069649432193 0.698885291299211 0.739 0.730063581169052 1 4 1 10 0.5
0.319854694006945 0.329693931190201 0.728311689963615 1 0.231452817204278 0.247129126595116 0.372 0.260647663799705 1 4 1 10 0.5
0.686507102849788 0.687292153474967 0.846337413568931 0.873382246309664 0.690187199792697 0.691328237320697 0.719 0.676781363112976 1 4 1 10 0.5
0.258546361736632 0.263520447144992 0.493029684894992 0.531610908196815 0.299445008147758 0.311143013128334 0.283 0.230162948598112 1 4 1 10 0.5
0.792209643657161 0.792481251279495 0.650997685420705 0.701251969728312 0.803251385783003 0.8035150494856 0.832 0.787524158007221 1 4 1 10 0.5
0.742274744154525 0.742754789013824 0.850522683498293 0.90805470998229 0.747602041681015 0.74812980548872 0.771 0.73554359993016 1 4 1 10 0.5
0.104230326223732 0.115930394270513 0.364309676962787 0.436091919398009 0.0840840573297043 0.101127116819659 0.102 0.0637094682774806 1 4 1 10 0.5
0.0250311458707083 0.0291928018201192 0.00804387018527456 0.0127143343288392 0.00800169843745439 0.0152830131404607 0.02 0.0210976985089559 1 4 1 10 0.5
0.977314149317803 0.977322252319125 0.644945982375614 0.446425957292576 0.976649822654866 0.976650161906739 0.392 0.977012465002093 1 4 1 10 0.5
0.47914338801709 0.480088811610783 0.148471295357279 0.103801182557719 0.557775579003879 0.561413507221684 0.515 0.498719844555745 1 4 1 10 0.5
0.5505075028836 0.550555274881193 0.495801335331595 0.55851966180951 0.581110967035444 0.583362018661828 0.614 0.546852143653009 1 4 1 10 0.5
0.959348368900713 0.959461773427212 0.698933645232028 0.557095568376262 0.960008631006828 0.960010958029884 0.96 0.95862958728146 1 4 1 10 0.5
0.0555914679138228 0.0641560378541026 0.0607323027047905 0.0621219012447274 0.0260428539280093 0.0391462245873212 0.049 0.0360112205596081 1 4 1 10 0.5
0.0895159408278665 0.105845577337998 0.0819151362722238 0.187113253008755 0.00414420666625465 0.0112892157558898 0.061 0.0537832426194739 1 4 1 10 0.5
0.173029703667912 0.184284794407841 0.481513886136965 0.727137360865656 0.128337658564092 0.145609894515082 0.182 0.125098355742076 1 4 1 10 0.5
0.438522834081045 0.441314867074708 0.684356364402864 0.729590918692885 0.40454093427155 0.411059575293331 0.494 0.415684935191113 1 4 1 10 0.5
0.19073029455207 0.201619638086829 0.342716706344926 0.358869303192144 0.123361547341891 0.138868324449637 0.203 0.140547672876503 1 4 1 10 0.5
0.361812334117618 0.36446772092957 0.406060366346412 0.467611130185486 0.29426793691919 0.303824995566024 0.359 0.343366197687495 1 4 1 10 0.5
0.610906629424116 0.6139727974137 0.91438000326603 0.968775526640971 0.567604006560864 0.570557807690357 0.825 0.586787482121339 1 4 1 10 0.5
0.899377318724113 0.899377328552391 0.822592533022879 0.781043548979316 0.899481851683261 0.899524701979815 0.881 0.898125636072005 1 4 1 10 0.5
0.793301946142378 0.793879576049417 0.241515223787344 0.157343791927083 0.823235210198968 0.823538608657244 0.82 0.796311571569363 1 4 1 10 0.5
0.0610001637665754 0.0739714743594387 0.0434542504856215 0.070172340756164 0.00586876841237879 0.0144638760109155 0.039 0.0366032711803895 1 4 1 10 0.5
0.700031329752563 0.700480351231144 0.79329008236831 0.907947419659473 0.694430750705927 0.695224155056415 0.712 0.692700943958184 1 4 1 10 0.5
0.0321628909480614 0.0407491024440108 0.0495687775379886 0.0599379727277034 0.0119104747093036 0.0224326439985154 0.024 0.0157629118302362 1 4 1 10 0.5
0.40375042383481 0.407033456978728 0.525947315541376 0.589765659743968 0.373975132890883 0.382047684564184 0.441 0.379917109086007 1 4 1 10 0.5
0.152828809148103 0.164936023107715 0.413409747643152 0.534716739758693 0.113948798862078 0.131613440664392 0.174 0.103189757398109 1 4 1 10 0.5
0.942748535480243 0.942748597729951 1 0.907405276667125 0.948296339062697 0.948301390596613 0.956 0.941970167646812 1 4 1 10 0.5
0.0863064138100819 0.0975521138275437 0.0726914805980079 0.0815214035832681 0.0422585702002966 0.0607235875001929 0.069 0.0559170523502034 1 4 1 10 0.5
0.598076159714114 0.598725291284193 0.869477065709487 0.847536363629519 0.594703200889267 0.5965387286664 0.662 0.588031661761165 1 4 1 10 0.5
0.414975691695524 0.415578690119209 0.631625197577377 0.644489632324548 0.518801803938707 0.522820550496949 0.615 0.407497090270971 1 4 1 10 0.5
0.0437949799580225 0.0487836224716903 0.0483607962026098 0.0522779438758692 0.0357206671573523 0.0520515059388858 0.027 0.033901073834778 1 4 1 10 0.5
0.216981346624647 0.224451757956974 0.322400221159034 0.38313186962086 0.245804383650074 0.263383850472643 0.237 0.18477883716489 1 4 1 10 0.5
0.373335411085609 0.374652940472508 0.561652746291336 0.731782863391611 0.368685063826481 0.375531922336577 0.39 0.360940532318069 1 4 1 10 0.5
0.720006912244172 0.720974851113831 1 0.874006913874463 0.700461927704676 0.701274508839696 0.761 0.710080445986104 1 4 1 10 0.5
1 1 0.893787945635441 0.969122026754765 1 0.999999904884748 0.997 0.999999990229997 1 4 1 10 0.5
0.403218130430946 0.407519759904129 0.721702705182075 0.817883686801675 0.411653922325072 0.418184369714116 0.412 0.372103990819893 1 4 1 10 0.5
0.604303056291224 0.606119539628006 0.989437440267971 0.969267036149193 0.591195888523337 0.592957146128487 0.66 0.588276413430026 1 4 1 10 0.5
0.618422673358067 0.618423813844657 0.521165557685726 0.460273074580585 0.56675731855327 0.569201428429588 0.572 0.619431381415005 1 4 1 10 0.5
0.769170615034663 0.769170633934946 0.381477349048189 0.281626992831147 0.706579343399764 0.707333580947305 0.556 0.767949483012596 1 4 1 10 0.5
0.467530979121279 0.468848374222273 0.529512335514019 0.648296717733422 0.485762000315805 0.492324268309369 0.512 0.459846426164922 1 4 1 10 0.5
1 1 0.90392260716284 0.937898014011999 1 0.999999835255552 0.969 0.999999996435825 1 4 1 10 0.5
0.459191321728405 0.464407986528962 0.58432870959625 0.698005853504472 0.359221975637089 0.368384508546951 0.647 0.420852281497703 1 4 1 10 0.5
0.878786779902046 0.878806849044073 0.942286094566405 0.96880066442023 0.885691455765989 0.885746406750616 0.886 0.876936277298037 1 4 1 10 0.5
0.776649640290448 0.776715323811741 0.733556832908615 0.842749449535023 0.81016598021511 0.810446430379474 0.802 0.773114694972545 1 4 1 10 0.5
0.986528821378348 0.986576496860845 0.450396545774862 0.361259235091524 0.986258527957184 0.986258608072104 0.007 0.986321842760563 1 4 1 10 0.5
0.0452191086049125 0.0477990348943804 0.0663750916758445 0.0802582073423714 0.0483228175403798 0.062823900369156 1 0.0380833749355939 1 4 1 10 0.5
0.302024837451269 0.312416147433379 0.817963047072646 0.969158471460492 0.239070639430058 0.25443530254639 0.422 0.241374210606158 1 4 1 10 0.5
0.965712508784057 0.965759257469271 0.490330983751477 0.381975415360185 0.96273809451949 0.962739507554437 0.019 0.965309106652303 1 4 1 10 0.5
0.296934807257405 0.305681350529458 0.439127067089219 0.645259861397145 0.188156151174938 0.199448580729086 0.353 0.246904169664491 1 4 1 10 0.5
0.233453900817842 0.237440173866126 0.681670049874568 0.594475209012623 0.275803884222133 0.285923920427992 0.934 0.207729369374342 1 4 1 10 0.5
0.14633671136946 0.152809924305898 0.167252661571737 0.20358268891233 0.113024729766704 0.130425018615992 0.144 0.127353672126951 1 4 1 10 0.5
0.878430125102812 0.878430404768734 0.665996062866786 0.517100689785274 0.887371300894878 0.887437291438861 0.91 0.87703176435647 1 4 1 10 0.5
0.320748805308151 0.327922712312543 0.706335189831988 0.908303602301281 0.26762931396485 0.2780776126459 0.366 0.277262200971248 1 4 1 10 0.5
0.232536691154251 0.236828707088963 0.174556176661498 0.159451393122881 0.243187107458687 0.258352873831183 0.235 0.215878180078209 1 4 1 10 0.5
0.704469474749998 0.707575862110892 0.659025614877155 0.530783272714348 0.597868587642944 0.600124867612237 0.952 0.681537818420319 1 4 1 10 0.5
0.525875212473579 0.529312846621578 0.946964265893859 0.969109849778773 0.564011199122196 0.567057211661157 0.508 0.499715586505861 1 4 1 10 0.5
0.847156279690494 0.847273112253942 0.822615631748285 0.702890482433012 0.853000160915902 0.853093699464298 0.85 0.844284304449539 1 4 1 10 0.5
0.0355371963161294 0.0391802146670105 0.0204704531838095 0.0251002791211584 0.0235924130581126 0.036579538922791 0.035 0.0353958484549452 1 4 1 10 0.5
0.322142820917731 0.32619365056272 0.459173937499105 0.541059781524782 0.293601901209247 0.30345044058799 0.339 0.295327444602937 1 4 1 10 0.5
0.563946025897277 0.564354094131868 0.374818127059414 0.298603346032123 0.460496463720659 0.465148039639726 0.5 0.560606328098454 1 4 1 10 0.5
1 1 0.855917171859687 0.876804481842681 1 0.999999865486721 0.968 1 1 4 1 10 0.5
0.5017435759806 0.50226792698428 0.363938904209282 0.308408327528145 0.531508219511807 0.535881353206326 0.487 0.498117512706014 1 4 1 10 0.5
0.43330420619136 0.435018689543497 0.345071684216999 0.394245037830279 0.46864301671573 0.473968106701397 0.463 0.417081160925023 1 4 1 10 0.5
0.158646807117928 0.170908243001609 0.280566316038696 0.376289774890549 0.100163109940767 0.118980605289324 0.193 0.109918928939284 1 4 1 10 0.5
0.235676494502738 0.236294681088174 0.227597566678342 0.305672755469006 0.376251514644193 1.21897919897881e-19 0.757 0.257747846737087 1 4 1 10 0.5
0.722505743239903 0.723358342667898 0.817158639661952 1 0.759625705667887 0.760062721350135 0.766 0.71434882480657 1 4 1 10 0.5
0.168109038559775 0.169556740289301 0.147992846487155 0.168242381767063 0.170590646953634 0.184196484017072 0.179 0.164966545775197 1 4 1 10 0.5
0.209440317951493 0.214880938927213 0.292713893936389 0.360688505728479 0.206801312842942 0.225735652479552 0.216 0.197352711562253 1 4 1 10 0.5
0.289641051326915 0.300091607454824 0.521212057612606 0.715559821842726 0.211200025785869 0.227351537342712 0.396 0.230370581747342 1 4 1 10 0.5
0.310858521694724 0.314773697862186 0.196536559446558 0.178691959857639 0.244789667414579 0.258148969695313 0.309 0.292250226376232 1 4 1 10 0.5
0.199115467285866 0.209440590831675 0.652888182957368 0.969194787425051 0.173578690946708 0.187586099212671 0.206 0.150338320648908 1 4 1 10 0.5
0.0196864966725318 0.0257946614828439 0.0127222413651381 0.0247585692291974 0.00545070396995879 0.0139456674577699 0.018 0.0155250858030644 1 4 1 10 0.5
0.603139199402553 0.60341843193135 0.136184854134647 0.0222212267748002 0.440756281818566 0.445543466329002 0.482 0.602382274362918 1 4 1 10 0.5
0.458869435345332 0.462215994091101 0.582748377475537 0.578266408072012 0.494371815612985 0.500210617158522 0.501 0.432840801470644 1 4 1 10 0.5
0.42089937485726 0.422446294360231 0.626207332645433 0.729590918692885 0.445521575872347 0.450733359416349 0.419 0.405342466851 1 4 1 10 0.5
0.0889313937802086 0.0932665525809159 0.104452439422372 0.117699832522212 0.0908880243335157 0.110484718180531 0.088 0.0836801362403161 1 4 1 10 0.5
0.36944270968193 0.369475354413616 0.283958049892762 0.296901516439219 0.364363590631679 0.37061119207898 0.42 0.378195000753105 1 4 1 10 0.5
0.483453765374194 0.484201098926989 0.711707095168606 0.701031448949867 0.540263095380072 0.543369453035209 0.464 0.472340689153271 1 4 1 10 0.5
0.313816926018938 0.320379342878942 0.341480727336004 0.374047832538835 0.287983594000905 0.299674604308003 0.387 0.273992966038336 1 4 1 10 0.5
0.395067529266051 0.396230214021059 0.224713210187995 0.16301095055714 0.346195699933467 0.357177895414606 0.402 0.399775749249481 1 4 1 10 0.5
0.471452733218575 0.476546475489744 0.952893055590788 0.938290281350062 0.453699709513622 0.45877626096968 0.502 0.436381471107733 1 4 1 10 0.5
0.416769723371753 0.419997675413707 0.479099374412412 0.507809460957827 0.369086498263132 0.376733608808895 0.468 0.392608669552717 1 4 1 10 0.5
0.749314575781471 0.75021651043966 0.827510897686778 0.87156060091688 0.796908222505218 0.797286446859075 0.784 0.741026145932792 1 4 1 10 0.5
1 1 0.72093948139738 0.720476502597256 1 1 0.981 0.999999999998806 1 4 1 10 0.5
