exp	status	origin	tank2	ES	Fdensity	Fdensity0	propFdens
2	farmed	F	210	5	4	7	0.571428571
2	farmed	F	211	1	7	7	1
2	farmed	F	211	2	7	7	1
2	farmed	F	211	3	7	7	1
2	farmed	F	211	4	7	7	1
2	farmed	F	211	5	6	7	0.857142857
2	farmed	F	212	1	6	6	1
2	farmed	F	212	2	5	6	0.833333333
2	farmed	F	212	3	4	6	0.666666667
2	farmed	F	212	4	4	6	0.666666667
2	farmed	F	212	5	4	6	0.666666667
2	wild	S	213	1	3	3	1
2	wild	S	213	2	3	3	1
2	wild	S	213	3	3	3	1
2	wild	S	213	4	3	3	1
2	wild	S	213	5	3	3	1
2	wild	S	214	1	6	6	1
2	wild	S	214	2	6	6	1
2	wild	S	214	3	5	6	0.833333333
2	wild	S	214	4	5	6	0.833333333
2	wild	S	214	5	5	6	0.833333333
2	wild	S	215	1	8	8	1
2	wild	S	215	2	7	8	0.875
2	wild	S	215	3	7	8	0.875
2	wild	S	215	4	7	8	0.875
2	wild	S	215	5	6	8	0.75
2	farmed	F	216	1	4	4	1
2	farmed	F	216	2	4	4	1
2	farmed	F	216	3	4	4	1
2	farmed	F	216	4	4	4	1
2	farmed	F	216	5	4	4	1
2	farmed	F	217	1	4	4	1
2	farmed	F	217	2	4	4	1
2	farmed	F	217	3	3	4	0.75
2	farmed	F	217	4	3	4	0.75
2	farmed	F	217	5	3	4	0.75
2	farmed	F	218	1	7	7	1
2	farmed	F	218	2	6	7	0.857142857
2	farmed	F	218	3	5	7	0.714285714
2	farmed	F	218	4	5	7	0.714285714
2	farmed	F	218	5	5	7	0.714285714
2	wild	S	219	1	8	8	1
2	wild	S	219	2	8	8	1
2	wild	S	219	3	5	8	0.625
2	wild	S	219	4	5	8	0.625
2	wild	S	219	5	4	8	0.5
2	farmed	F	220	1	4	4	1
2	farmed	F	220	2	4	4	1
2	farmed	F	220	3	4	4	1
2	farmed	F	220	4	4	4	1
2	farmed	F	220	5	3	4	0.75
2	farmed	F	221	1	10	10	1
2	farmed	F	221	2	10	10	1
2	farmed	F	221	3	9	10	0.9
2	farmed	F	221	4	9	10	0.9
2	farmed	F	221	5	9	10	0.9
2	wild	S	223	1	3	3	1
2	wild	S	223	2	3	3	1
2	wild	S	223	3	3	3	1
2	wild	S	223	4	3	3	1
2	wild	S	223	5	3	3	1
2	farmed	F	224	1	5	5	1
2	farmed	F	224	2	5	5	1
2	farmed	F	224	3	5	5	1
2	farmed	F	224	4	5	5	1
2	farmed	F	224	5	4	5	0.8
2	farmed	F	225	1	4	4	1
2	farmed	F	225	2	4	4	1
2	farmed	F	225	3	4	4	1
2	farmed	F	225	4	3	4	0.75
2	farmed	F	225	5	2	4	0.5
2	wild	S	226	1	4	4	1
2	wild	S	226	2	4	4	1
2	wild	S	226	3	4	4	1
2	wild	S	226	4	3	4	0.75
2	wild	S	226	5	3	4	0.75
2	wild	S	227	1	3	3	1
2	wild	S	227	2	3	3	1
2	wild	S	227	3	3	3	1
2	wild	S	227	4	2	3	0.666666667
2	wild	S	227	5	2	3	0.666666667
2	farmed	F	228	1	4	4	1
2	farmed	F	228	2	4	4	1
2	farmed	F	228	3	4	4	1
2	farmed	F	228	4	4	4	1
2	farmed	F	228	5	4	4	1
2	farmed	F	229	1	1	1	1
2	farmed	F	229	2	1	1	1
2	farmed	F	229	3	1	1	1
2	farmed	F	229	4	1	1	1
2	farmed	F	229	5	1	1	1
2	wild	S	230	1	2	2	1
2	wild	S	230	2	1	2	0.5
2	wild	S	230	3	1	2	0.5
2	wild	S	230	4	1	2	0.5
2	wild	S	230	5	1	2	0.5
