status	exp	origin	tank2	tank	daysPI	ES
wild	1	O	124	24	74	3
wild	1	O	124	24	74	3
wild	1	O	124	24	75	3
wild	1	O	124	24	85	4
wild	1	O	124	24	86	4
wild	1	O	124	24	94	5
wild	1	O	124	24	96	5
farmed	1	B	125	25	55	1
farmed	1	B	125	25	58	1
farmed	1	B	125	25	65	2
farmed	1	B	125	25	68	2
farmed	1	B	125	25	78	3
farmed	1	B	125	25	78	3
farmed	1	B	125	25	88	4
farmed	1	B	125	25	97	5
farmed	1	B	126	26	50	1
farmed	1	B	126	26	53	1
farmed	1	B	126	26	54	1
farmed	1	B	126	26	60	2
farmed	1	B	126	26	64	2
farmed	1	B	126	26	64	2
farmed	1	B	126	26	70	3
farmed	1	B	126	26	73	3
farmed	1	B	126	26	74	3
farmed	1	B	126	26	81	4
farmed	1	B	126	26	81	4
farmed	1	B	126	26	83	4
farmed	1	B	126	26	92	5
farmed	1	B	126	26	93	5
farmed	1	B	126	26	93	5
farmed	1	B	127	27	51	1
farmed	1	B	127	27	56	1
farmed	1	B	127	27	59	2
farmed	1	B	127	27	67	2
farmed	1	B	127	27	70	3
farmed	1	B	127	27	78	3
farmed	1	B	127	27	81	4
wild	1	O	128	28	55	1
wild	1	O	128	28	65	2
wild	1	O	128	28	76	3
wild	1	O	128	28	83	3
wild	1	O	128	28	87	4
wild	1	O	128	28	87	4
wild	1	O	128	28	89	4
wild	1	O	128	28	89	4
wild	1	O	128	28	92	4
wild	1	O	128	28	98	5
wild	1	O	128	28	99	5
wild	1	O	128	28	100	5
wild	1	O	129	29	59	1
wild	1	O	129	29	69	2
wild	1	O	129	29	79	3
wild	1	O	129	29	98	5
wild	1	O	130	30	52	1
wild	1	O	130	30	52	1
wild	1	O	130	30	54	1
wild	1	O	130	30	62	2
wild	1	O	130	30	62	2
wild	1	O	130	30	64	2
wild	1	O	130	30	72	3
wild	1	O	130	30	73	3
wild	1	O	130	30	81	4
wild	1	O	130	30	92	5
wild	2	S	202	2	60	1
wild	2	S	202	2	67	1
wild	2	S	202	2	67	1
wild	2	S	202	2	73	2
wild	2	S	202	2	79	2
wild	2	S	202	2	80	2
wild	2	S	202	2	85	3
wild	2	S	202	2	91	3
wild	2	S	202	2	94	3
wild	2	S	202	2	97	4
wild	2	S	202	2	103	4
wild	2	S	202	2	106	4
wild	2	S	202	2	115	5
wild	2	S	202	2	118	5
wild	2	S	203	3	62	1
wild	2	S	203	3	62	1
wild	2	S	203	3	62	1
wild	2	S	203	3	64	1
wild	2	S	203	3	72	1
wild	2	S	203	3	75	2
wild	2	S	203	3	75	2
wild	2	S	203	3	78	2
wild	2	S	203	3	84	2
wild	2	S	203	3	85	3
wild	2	S	203	3	88	3
wild	2	S	203	3	88	3
wild	2	S	203	3	97	3
wild	2	S	203	3	99	4
wild	2	S	203	3	100	4
wild	2	S	203	3	100	4
wild	2	S	203	3	107	4
wild	2	S	203	3	110	5
wild	2	S	203	3	111	5
wild	2	S	203	3	112	5
wild	2	S	203	3	119	5
farmed	2	F	204	4	61	1
farmed	2	F	204	4	61	1
farmed	2	F	204	4	65	1
farmed	2	F	204	4	65	1
farmed	2	F	204	4	65	1
farmed	2	F	204	4	65	1
farmed	2	F	204	4	73	1
farmed	2	F	204	4	74	2
farmed	2	F	204	4	76	2
farmed	2	F	204	4	77	2
farmed	2	F	204	4	77	2
farmed	2	F	204	4	80	2
farmed	2	F	204	4	85	2
farmed	2	F	204	4	86	3
farmed	2	F	204	4	88	3
farmed	2	F	204	4	89	3
farmed	2	F	204	4	89	3
farmed	2	F	204	4	97	3
farmed	2	F	204	4	97	4
farmed	2	F	204	4	98	4
farmed	2	F	204	4	100	4
farmed	2	F	204	4	101	4
farmed	2	F	204	4	101	4
farmed	2	F	204	4	108	4
farmed	2	F	204	4	110	5
farmed	2	F	204	4	111	5
farmed	2	F	204	4	112	5
farmed	2	F	204	4	112	5
farmed	2	F	204	4	113	5
farmed	2	F	204	4	114	5
farmed	2	F	204	4	120	5
farmed	2	F	205	5	62	1
farmed	2	F	205	5	64	1
farmed	2	F	205	5	66	1
farmed	2	F	205	5	67	1
farmed	2	F	205	5	67	1
farmed	2	F	205	5	68	1
farmed	2	F	205	5	69	1
farmed	2	F	205	5	70	1
farmed	2	F	205	5	76	2
farmed	2	F	205	5	76	2
farmed	2	F	205	5	78	2
farmed	2	F	205	5	79	2
farmed	2	F	205	5	79	2
farmed	2	F	205	5	82	2
farmed	2	F	205	5	82	2
farmed	2	F	205	5	86	2
farmed	2	F	205	5	87	2
farmed	2	F	205	5	88	3
farmed	2	F	205	5	91	3
farmed	2	F	205	5	93	3
farmed	2	F	205	5	97	3
farmed	2	F	205	5	97	3
farmed	2	F	205	5	105	4
farmed	2	F	205	5	109	4
farmed	2	F	205	5	109	4
farmed	2	F	205	5	117	5
farmed	2	F	205	5	121	5
farmed	2	F	205	5	122	5
farmed	2	F	206	6	62	1
farmed	2	F	206	6	62	1
farmed	2	F	206	6	64	1
farmed	2	F	206	6	64	1
farmed	2	F	206	6	64	1
farmed	2	F	206	6	66	1
farmed	2	F	206	6	69	1
farmed	2	F	206	6	71	1
farmed	2	F	206	6	74	2
farmed	2	F	206	6	77	2
farmed	2	F	206	6	77	2
farmed	2	F	206	6	77	2
farmed	2	F	206	6	77	2
farmed	2	F	206	6	82	2
farmed	2	F	206	6	82	2
farmed	2	F	206	6	82	2
farmed	2	F	206	6	88	3
farmed	2	F	206	6	89	3
farmed	2	F	206	6	89	3
farmed	2	F	206	6	89	3
farmed	2	F	206	6	90	3
farmed	2	F	206	6	92	3
farmed	2	F	206	6	94	3
farmed	2	F	206	6	94	3
farmed	2	F	206	6	98	4
farmed	2	F	206	6	100	4
farmed	2	F	206	6	100	4
farmed	2	F	206	6	101	4
farmed	2	F	206	6	101	4
farmed	2	F	206	6	106	5
farmed	2	F	206	6	111	5
farmed	2	F	206	6	112	5
farmed	2	F	206	6	113	5
farmed	2	F	206	6	118	5
farmed	2	F	206	6	118	5
wild	2	S	207	7	58	1
wild	2	S	207	7	59	1
wild	2	S	207	7	59	1
wild	2	S	207	7	60	1
wild	2	S	207	7	62	1
wild	2	S	207	7	63	1
wild	2	S	207	7	65	1
wild	2	S	207	7	65	1
wild	2	S	207	7	67	1
wild	2	S	207	7	71	2
wild	2	S	207	7	71	2
wild	2	S	207	7	72	2
wild	2	S	207	7	74	2
wild	2	S	207	7	75	2
wild	2	S	207	7	77	2
wild	2	S	207	7	78	2
wild	2	S	207	7	79	2
wild	2	S	207	7	79	2
wild	2	S	207	7	83	3
wild	2	S	207	7	84	3
wild	2	S	207	7	84	3
wild	2	S	207	7	84	3
wild	2	S	207	7	87	3
wild	2	S	207	7	88	3
wild	2	S	207	7	90	3
wild	2	S	207	7	91	3
wild	2	S	207	7	91	3
wild	2	S	207	7	94	4
wild	2	S	207	7	94	4
wild	2	S	207	7	95	4
wild	2	S	207	7	95	4
wild	2	S	207	7	97	4
wild	2	S	207	7	97	4
wild	2	S	207	7	101	4
wild	2	S	207	7	101	4
wild	2	S	207	7	102	4
wild	2	S	207	7	106	5
wild	2	S	207	7	106	5
wild	2	S	207	7	107	5
wild	2	S	207	7	108	5
wild	2	S	207	7	113	5
wild	2	S	207	7	114	5
wild	2	S	207	7	115	5
wild	2	S	208	8	61	1
wild	2	S	208	8	64	1
wild	2	S	208	8	64	1
wild	2	S	208	8	66	1
wild	2	S	208	8	74	2
wild	2	S	208	8	74	2
wild	2	S	208	8	77	2
wild	2	S	208	8	78	2
wild	2	S	208	8	86	3
wild	2	S	208	8	87	3
wild	2	S	208	8	89	3
wild	2	S	208	8	90	3
wild	2	S	208	8	98	4
wild	2	S	208	8	98	4
wild	2	S	208	8	102	4
wild	2	S	208	8	103	4
wild	2	S	208	8	110	5
wild	2	S	208	8	110	5
wild	2	S	208	8	112	5
wild	2	S	208	8	114	5
wild	2	S	209	9	60	1
wild	2	S	209	9	60	1
wild	2	S	209	9	63	1
wild	2	S	209	9	67	1
wild	2	S	209	9	67	1
wild	2	S	209	9	68	1
wild	2	S	209	9	73	2
wild	2	S	209	9	73	2
wild	2	S	209	9	75	2
wild	2	S	209	9	78	2
wild	2	S	209	9	78	2
wild	2	S	209	9	81	2
wild	2	S	209	9	85	3
wild	2	S	209	9	85	3
wild	2	S	209	9	87	3
wild	2	S	209	9	90	3
wild	2	S	209	9	93	3
wild	2	S	209	9	97	4
wild	2	S	209	9	99	4
wild	2	S	209	9	101	4
wild	2	S	209	9	101	4
wild	2	S	209	9	105	4
wild	2	S	209	9	106	4
wild	2	S	209	9	109	5
wild	2	S	209	9	111	5
wild	2	S	209	9	113	5
wild	2	S	209	9	116	5
wild	2	S	209	9	118	5
farmed	2	F	210	10	60	1
farmed	2	F	210	10	63	1
farmed	2	F	210	10	64	1
farmed	2	F	210	10	65	1
farmed	2	F	210	10	65	1
farmed	2	F	210	10	65	1
farmed	2	F	210	10	68	1
farmed	2	F	210	10	73	2
farmed	2	F	210	10	75	2
farmed	2	F	210	10	76	2
farmed	2	F	210	10	77	2
farmed	2	F	210	10	82	2
farmed	2	F	210	10	86	3
farmed	2	F	210	10	86	3
farmed	2	F	210	10	89	3
farmed	2	F	210	10	90	3
farmed	2	F	210	10	93	3
farmed	2	F	210	10	96	4
farmed	2	F	210	10	98	4
farmed	2	F	210	10	102	4
farmed	2	F	210	10	104	4
farmed	2	F	210	10	108	5
farmed	2	F	210	10	109	5
farmed	2	F	210	10	114	5
farmed	2	F	210	10	116	5
farmed	2	F	211	11	68	1
farmed	2	F	211	11	68	1
farmed	2	F	211	11	69	1
farmed	2	F	211	11	70	1
farmed	2	F	211	11	70	1
farmed	2	F	211	11	71	1
farmed	2	F	211	11	74	1
farmed	2	F	211	11	78	2
farmed	2	F	211	11	80	2
farmed	2	F	211	11	82	2
farmed	2	F	211	11	83	2
farmed	2	F	211	11	83	2
farmed	2	F	211	11	86	2
farmed	2	F	211	11	90	3
farmed	2	F	211	11	92	3
farmed	2	F	211	11	93	3
farmed	2	F	211	11	93	3
farmed	2	F	211	11	95	3
farmed	2	F	211	11	95	3
farmed	2	F	211	11	98	3
farmed	2	F	211	11	104	4
farmed	2	F	211	11	105	4
farmed	2	F	211	11	105	4
farmed	2	F	211	11	105	4
farmed	2	F	211	11	107	4
farmed	2	F	211	11	108	4
farmed	2	F	211	11	111	4
farmed	2	F	211	11	114	5
farmed	2	F	211	11	116	5
farmed	2	F	211	11	117	5
farmed	2	F	211	11	119	5
farmed	2	F	211	11	119	5
farmed	2	F	211	11	121	5
farmed	2	F	212	12	63	1
farmed	2	F	212	12	65	1
farmed	2	F	212	12	65	1
farmed	2	F	212	12	67	1
farmed	2	F	212	12	71	1
farmed	2	F	212	12	74	1
farmed	2	F	212	12	76	2
farmed	2	F	212	12	78	2
farmed	2	F	212	12	78	2
farmed	2	F	212	12	79	2
farmed	2	F	212	12	87	2
farmed	2	F	212	12	88	3
farmed	2	F	212	12	89	3
farmed	2	F	212	12	91	3
farmed	2	F	212	12	98	3
farmed	2	F	212	12	100	4
farmed	2	F	212	12	101	4
farmed	2	F	212	12	103	4
farmed	2	F	212	12	109	4
farmed	2	F	212	12	111	5
farmed	2	F	212	12	113	5
farmed	2	F	212	12	115	5
farmed	2	F	212	12	121	5
wild	2	S	213	13	62	1
wild	2	S	213	13	64	1
wild	2	S	213	13	64	1
wild	2	S	213	13	75	2
wild	2	S	213	13	76	2
wild	2	S	213	13	77	2
wild	2	S	213	13	86	3
wild	2	S	213	13	87	3
wild	2	S	213	13	88	3
wild	2	S	213	13	98	4
wild	2	S	213	13	100	4
wild	2	S	213	13	100	4
wild	2	S	213	13	109	5
wild	2	S	213	13	110	5
wild	2	S	213	13	111	5
wild	2	S	214	14	61	1
wild	2	S	214	14	61	1
wild	2	S	214	14	64	1
wild	2	S	214	14	65	1
wild	2	S	214	14	66	1
wild	2	S	214	14	67	1
wild	2	S	214	14	74	2
wild	2	S	214	14	77	2
wild	2	S	214	14	78	2
wild	2	S	214	14	79	2
wild	2	S	214	14	86	3
wild	2	S	214	14	88	3
wild	2	S	214	14	91	3
wild	2	S	214	14	91	3
wild	2	S	214	14	98	4
wild	2	S	214	14	98	4
wild	2	S	214	14	100	4
wild	2	S	214	14	103	4
wild	2	S	214	14	103	4
wild	2	S	214	14	109	5
wild	2	S	214	14	110	5
wild	2	S	214	14	112	5
wild	2	S	214	14	115	5
wild	2	S	214	14	115	5
wild	2	S	215	15	61	1
wild	2	S	215	15	62	1
wild	2	S	215	15	63	1
wild	2	S	215	15	63	1
wild	2	S	215	15	63	1
wild	2	S	215	15	64	1
wild	2	S	215	15	74	2
wild	2	S	215	15	75	2
wild	2	S	215	15	75	2
wild	2	S	215	15	75	2
wild	2	S	215	15	77	2
wild	2	S	215	15	85	2
wild	2	S	215	15	86	2
wild	2	S	215	15	87	3
wild	2	S	215	15	87	3
wild	2	S	215	15	89	3
wild	2	S	215	15	91	3
wild	2	S	215	15	98	3
wild	2	S	215	15	98	3
wild	2	S	215	15	99	4
wild	2	S	215	15	99	4
wild	2	S	215	15	102	4
wild	2	S	215	15	110	4
wild	2	S	215	15	110	4
wild	2	S	215	15	110	4
wild	2	S	215	15	111	4
wild	2	S	215	15	112	5
wild	2	S	215	15	112	5
wild	2	S	215	15	122	5
wild	2	S	215	15	122	5
wild	2	S	215	15	123	5
wild	2	S	215	15	123	5
farmed	2	F	216	16	63	1
farmed	2	F	216	16	63	1
farmed	2	F	216	16	68	1
farmed	2	F	216	16	75	2
farmed	2	F	216	16	75	2
farmed	2	F	216	16	80	2
farmed	2	F	216	16	87	3
farmed	2	F	216	16	91	3
farmed	2	F	216	16	93	3
farmed	2	F	216	16	98	4
farmed	2	F	216	16	99	4
farmed	2	F	216	16	104	4
farmed	2	F	216	16	105	4
farmed	2	F	216	16	110	5
farmed	2	F	216	16	111	5
farmed	2	F	216	16	117	5
farmed	2	F	216	16	117	5
farmed	2	F	217	17	66	1
farmed	2	F	217	17	67	1
farmed	2	F	217	17	68	1
farmed	2	F	217	17	68	1
farmed	2	F	217	17	78	2
farmed	2	F	217	17	78	2
farmed	2	F	217	17	80	2
farmed	2	F	217	17	81	2
farmed	2	F	217	17	89	3
farmed	2	F	217	17	90	3
farmed	2	F	217	17	92	3
farmed	2	F	217	17	101	4
farmed	2	F	217	17	102	4
farmed	2	F	217	17	103	4
farmed	2	F	217	17	113	5
farmed	2	F	217	17	115	5
farmed	2	F	217	17	115	5
farmed	2	F	218	18	60	1
farmed	2	F	218	18	66	1
farmed	2	F	218	18	67	1
farmed	2	F	218	18	67	1
farmed	2	F	218	18	71	1
farmed	2	F	218	18	71	1
farmed	2	F	218	18	73	2
farmed	2	F	218	18	73	2
farmed	2	F	218	18	76	2
farmed	2	F	218	18	79	2
farmed	2	F	218	18	82	2
farmed	2	F	218	18	82	2
farmed	2	F	218	18	85	3
farmed	2	F	218	18	87	3
farmed	2	F	218	18	89	3
farmed	2	F	218	18	94	3
farmed	2	F	218	18	94	3
farmed	2	F	218	18	97	4
farmed	2	F	218	18	98	4
farmed	2	F	218	18	101	4
farmed	2	F	218	18	106	4
farmed	2	F	218	18	106	4
farmed	2	F	218	18	109	5
farmed	2	F	218	18	110	5
farmed	2	F	218	18	114	5
farmed	2	F	218	18	118	5
farmed	2	F	218	18	119	5
wild	2	S	219	19	60	1
wild	2	S	219	19	61	1
wild	2	S	219	19	62	1
wild	2	S	219	19	62	1
wild	2	S	219	19	62	1
wild	2	S	219	19	63	1
wild	2	S	219	19	63	1
wild	2	S	219	19	63	1
wild	2	S	219	19	67	1
wild	2	S	219	19	74	2
wild	2	S	219	19	75	2
wild	2	S	219	19	76	2
wild	2	S	219	19	76	2
wild	2	S	219	19	76	2
wild	2	S	219	19	76	2
wild	2	S	219	19	79	2
wild	2	S	219	19	84	2
wild	2	S	219	19	85	3
wild	2	S	219	19	86	3
wild	2	S	219	19	87	3
wild	2	S	219	19	87	3
wild	2	S	219	19	97	4
wild	2	S	219	19	98	4
wild	2	S	219	19	98	4
wild	2	S	219	19	99	4
wild	2	S	219	19	99	4
wild	2	S	219	19	108	5
