status	exp	origin	picture	tank2	tank	date	daysPI	Fdensity	Fdensity0	cephL	genL	ES	EES	ES1L	ES2L	eggsES1total	eggsES2total	eggstotal	max_ES
farmed	1	B	7_090610_f1	107	7	6/9/10	54	4	4	4.276	3.381	1	2	13.031	12.359	200	183	383	200
farmed	1	B	7_090610_f2	107	7	6/9/10	54	4	4	4.496	3.417	1	2	12.834	12.585	188	195	382	195
farmed	1	B	7_090610_f3	107	7	6/9/10	54	4	4	4.541	3.824	1	2	13.298	13.387	206	214	420	214
farmed	1	B	7_090610_f4	107	7	6/9/10	54	4	4	4.339	3.483	1	2	12.410	11.622	189	189	378	189
farmed	1	B	7_160610_f1	107	7	6/16/10	61	2	4	4.399	3.611	2	2	17.896	17.525	317	302	619	317
farmed	1	B	7_180610_f1	107	7	6/18/10	63	2	4	4.467	3.494	2	2	10.837	9.998	129	143	271	143
farmed	1	B	7_300610_f2	107	7	6/30/10	75	2	4	4.547	3.576	3	2	20.026	7.704	317	70	387	317
farmed	1	B	8_070610_f1	108	8	6/7/10	52	2	2	4.304	3.444	1	2	5.685	11.704	52	181	233	181
farmed	1	B	8_070610_f2	108	8	6/7/10	52	2	2	4.569	3.413	1	2	12.501	12.126	202	204	406	204
farmed	1	B	8_160610_f1	108	8	6/16/10	61	2	2	4.469	3.833	2	2	19.993	19.697	343	329	672	343
farmed	1	B	8_160610_f2	108	8	6/16/10	61	2	2	4.328	3.692	2	2	17.83	8.768	257	122	379	257
farmed	1	B	8_280610_f1	108	8	6/28/10	73	2	2	4.494	3.655	3	2	21.06	21.17	378	399	777	399
farmed	1	B	8_280610_f2	108	8	6/28/10	73	2	2	4.476	3.705	3	2	18.451	19.061	323	331	654	331
farmed	1	B	8_080710_f1	108	8	7/8/10	83	2	2	4.220	3.900	4	2	20.032	19.281	329	324	652	329
farmed	1	B	8_080710_f2	108	8	7/8/10	83	2	2	4.448	3.667	4	2	20.473	20.501	344	351	695	351
farmed	1	B	8_160710_f1	108	8	7/16/10	91	2	2	4.267	3.545	5	2	16.451	21.655	330	371	701	371
farmed	1	B	8_160710_f2	108	8	7/16/10	91	2	2	4.489	3.678	5	2	22.381	22.345	386	385	772	386
farmed	1	B	9_150610_f1	109	9	6/15/10	60	2	2	4.669	4.104	1	2	14.691	14.126	232	227	459	232
farmed	1	B	9_220610_f1	109	9	6/22/10	67	2	2	4.512	3.270	2	2	13.517	13.137	207	209	416	209
farmed	1	B	9_220610_f2	109	9	6/22/10	67	2	2	4.663	4.057	2	2	20.137	20.389	348	347	695	348
wild	1	O	10_020610_f1	110	10	6/2/10	57	2	2	4.646	3.934	1	2	10.433	10.088	175	164	340	175
wild	1	O	10_030610a	110	10	6/3/10	58	2	2	5.090	4.219	1	2	13.329	12.986	197	196	392	197
wild	1	O	10_150610_f1	110	10	6/15/10	70	1	2	4.465	3.771	2	2	20.61	16.89	348	308	656	348
wild	1	O	10_020710_f1	110	10	7/2/10	87	1	2	4.617	3.927	4	2	21.389	22.296	312	355	666	355
wild	1	O	10_120710_f1	110	10	7/12/10	97	1	2	4.532	3.835	5	2	23.097	21.962	381	337	718	381
